Id,Name,PointsVieBase,ForceBase,DefenseBase,ExperienceBase,SpriteUrl,Type1,Type2
227,skarmory,21,10,17,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,steel,flying
228,houndour,15,7,3,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,dark,fire
229,houndoom,25,11,6,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,dark,fire
230,kingdra,25,11,11,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,water,dragon
231,phanpy,30,7,7,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,ground,N/A
232,donphan,30,15,15,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,ground,N/A
233,porygon2,28,10,11,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,normal,N/A
234,stantler,24,11,7,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,normal,N/A
235,smeargle,18,5,4,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,normal,N/A
236,tyrogue,11,5,4,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,fighting,N/A
237,hitmontop,16,11,11,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,fighting,N/A
238,smoochum,15,5,3,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,ice,psychic
239,elekid,15,7,4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,electric,N/A
240,magby,15,9,4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,fire,N/A
241,miltank,31,10,13,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,normal,N/A
242,blissey,85,5,3,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,normal,N/A
243,raikou,30,10,9,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,electric,N/A
244,entei,38,14,10,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,fire,N/A
245,suicune,33,9,14,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,water,N/A
246,larvitar,16,8,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,rock,ground
247,pupitar,23,10,8,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,rock,ground
248,tyranitar,33,16,13,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,rock,dark
249,lugia,35,11,16,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,psychic,flying
250,ho-oh,35,16,11,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,fire,flying
251,celebi,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,psychic,grass
252,treecko,13,5,4,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,grass,N/A
253,grovyle,16,8,5,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,grass,N/A
254,sceptile,23,10,8,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,grass,N/A
255,torchic,15,7,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,fire,N/A
256,combusken,20,10,7,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,fire,fighting
257,blaziken,26,15,8,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,fire,fighting
258,mudkip,16,8,6,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,water,N/A
259,marshtomp,23,10,8,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,water,ground
260,swampert,33,13,11,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,water,ground
261,poochyena,11,6,4,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,dark,N/A
262,mightyena,23,11,8,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,dark,N/A
263,zigzagoon,12,5,5,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,normal,N/A
264,linoone,26,8,7,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,normal,N/A
265,wurmple,15,5,4,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,bug,N/A
266,silcoon,16,5,6,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,bug,N/A
267,beautifly,20,8,6,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,bug,flying
268,cascoon,16,5,6,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,bug,N/A
269,dustox,20,6,8,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,bug,poison
270,lotad,13,5,3,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,water,grass
271,lombre,20,6,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,water,grass
272,ludicolo,26,8,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,water,grass
273,seedot,13,5,6,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,grass,N/A
274,nuzleaf,23,8,5,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,grass,dark
275,shiftry,30,12,7,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,grass,dark
276,taillow,13,6,3,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,normal,flying
277,swellow,20,10,7,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,normal,flying
278,wingull,13,5,3,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,water,flying
279,pelipper,20,6,12,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,water,flying
280,ralts,10,5,3,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,psychic,fairy
281,kirlia,12,5,4,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,psychic,fairy
282,gardevoir,22,8,8,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,psychic,fairy
283,surskit,13,5,4,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,bug,water
284,masquerain,23,7,7,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,bug,flying
285,shroomish,20,5,7,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,grass,N/A
286,breloom,20,16,10,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,grass,fighting
287,slakoth,20,7,7,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,normal,N/A
288,vigoroth,26,10,10,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,normal,N/A
289,slaking,50,20,12,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,normal,N/A
290,nincada,10,5,11,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,bug,ground
291,ninjask,20,11,5,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,bug,flying
292,shedinja,10,11,5,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,bug,ghost
293,whismur,21,6,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,normal,N/A
294,loudred,28,8,5,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,normal,N/A
295,exploud,34,11,7,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,normal,N/A
296,makuhita,24,7,3,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,fighting,N/A
297,hariyama,48,15,7,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,fighting,N/A
298,azurill,16,5,5,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,normal,fairy
299,nosepass,10,5,16,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,rock,N/A
300,skitty,16,5,5,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,normal,N/A
301,delcatty,23,8,8,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,normal,N/A
302,sableye,16,9,9,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,dark,ghost
303,mawile,16,10,10,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,steel,fairy
304,aron,16,8,12,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,steel,rock
305,lairon,20,11,17,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,steel,rock
306,aggron,23,13,22,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,steel,rock
307,meditite,10,5,6,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,fighting,psychic
308,medicham,20,7,9,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,fighting,psychic
309,electrike,13,5,5,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,electric,N/A
310,manectric,23,9,7,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,electric,N/A
311,plusle,20,6,5,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,electric,N/A
312,minun,20,5,6,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,electric,N/A
313,volbeat,21,9,9,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,bug,N/A
314,illumise,21,5,9,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,bug,N/A
315,roselia,16,7,5,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,grass,poison
316,gulpin,23,5,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,poison,N/A
317,swalot,33,9,10,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,poison,N/A
318,carvanha,15,11,3,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,water,dark
319,sharpedo,23,15,5,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,water,dark
320,wailmer,43,8,4,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,water,N/A
321,wailord,56,11,5,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,water,N/A
322,numel,20,7,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,fire,ground
323,camerupt,23,12,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,fire,ground
324,torkoal,23,10,17,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,fire,N/A
325,spoink,20,5,4,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,psychic,N/A
326,grumpig,26,5,8,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,psychic,N/A
327,spinda,20,7,7,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,normal,N/A
328,trapinch,15,12,5,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,ground,N/A
329,vibrava,16,8,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,ground,dragon
330,flygon,26,12,10,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,ground,dragon
331,cacnea,16,10,5,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,grass,N/A
332,cacturne,23,14,7,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,grass,dark
333,swablu,15,5,7,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,normal,flying
334,altaria,25,8,11,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,dragon,flying
335,zangoose,24,14,7,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,normal,N/A
336,seviper,24,12,7,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,poison,N/A
337,lunatone,30,6,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,rock,psychic
338,solrock,30,11,10,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,rock,psychic
339,barboach,16,6,5,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,water,ground
340,whiscash,36,9,9,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,water,ground
341,corphish,14,10,8,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,water,N/A
342,crawdaunt,21,15,10,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,water,dark
343,baltoy,13,5,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,ground,psychic
344,claydol,20,8,13,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,ground,psychic
345,lileep,22,5,9,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,rock,grass
346,cradily,28,10,12,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,rock,grass
347,anorith,15,11,6,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,rock,bug
348,armaldo,25,15,12,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,rock,bug
349,feebas,10,5,3,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,water,N/A
350,milotic,31,7,9,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,water,N/A
351,castform,23,8,8,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,normal,N/A
352,kecleon,20,11,8,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,normal,N/A
353,shuppet,14,9,4,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,ghost,N/A
354,banette,21,14,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,ghost,N/A
355,duskull,10,5,11,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,ghost,N/A
356,dusclops,13,8,16,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,ghost,N/A
357,tropius,33,8,10,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,grass,flying
358,chimecho,25,6,10,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,psychic,N/A
359,absol,21,16,7,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,dark,N/A
360,wynaut,31,5,6,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,psychic,N/A
361,snorunt,16,6,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,ice,N/A
362,glalie,26,10,10,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,ice,N/A
363,spheal,23,5,6,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,ice,water
364,sealeo,30,7,8,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,ice,water
365,walrein,36,10,11,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,ice,water
366,clamperl,11,8,10,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,water,N/A
367,huntail,18,13,13,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,water,N/A
368,gorebyss,18,10,13,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,water,N/A
369,relicanth,33,11,16,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,water,rock
370,luvdisc,14,5,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,water,N/A
371,bagon,15,9,7,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,dragon,N/A
372,shelgon,21,11,12,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,dragon,N/A
373,salamence,31,16,10,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,dragon,flying
374,beldum,13,6,10,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,steel,psychic
375,metang,20,9,12,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,steel,psychic
376,metagross,26,16,16,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,steel,psychic
377,regirock,26,12,25,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,rock,N/A
378,regice,26,6,12,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,ice,N/A
379,registeel,26,9,18,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,steel,N/A
380,latias,26,10,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,dragon,psychic
381,latios,26,11,10,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,dragon,psychic
382,kyogre,33,12,11,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,water,N/A
383,groudon,33,18,17,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,ground,N/A
384,rayquaza,35,18,11,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,dragon,flying
385,jirachi,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png,steel,psychic
386,deoxys-normal,16,18,6,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png,psychic,N/A
387,turtwig,18,8,8,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png,grass,N/A
388,grotle,25,11,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png,grass,N/A
389,torterra,31,13,13,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png,grass,ground
390,chimchar,14,7,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png,fire,N/A
391,monferno,21,9,6,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png,fire,fighting
392,infernape,25,13,8,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png,fire,fighting
393,piplup,17,6,6,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png,water,N/A
394,prinplup,21,8,8,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png,water,N/A
395,empoleon,28,10,11,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png,water,steel
396,starly,13,6,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png,normal,flying
397,staravia,18,9,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,normal,flying
398,staraptor,28,15,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png,normal,flying
399,bidoof,19,5,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png,normal,N/A
400,bibarel,26,10,7,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,normal,water
401,kricketot,12,5,5,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,bug,N/A
402,kricketune,25,10,6,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png,bug,N/A
403,shinx,15,8,4,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png,electric,N/A
404,luxio,20,10,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png,electric,N/A
405,luxray,26,15,9,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png,electric,N/A
406,budew,13,5,4,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,grass,poison
407,roserade,20,8,8,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png,grass,poison
408,cranidos,22,15,5,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png,rock,N/A
409,rampardos,32,20,7,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png,rock,N/A
410,shieldon,10,5,14,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,rock,steel
411,bastiodon,20,6,21,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png,rock,steel
412,burmy,13,5,5,37,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,bug,N/A
413,wormadam-plant,20,7,10,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png,bug,grass
414,mothim,23,11,6,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,bug,flying
415,combee,10,5,5,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png,bug,flying
416,vespiquen,23,10,12,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png,bug,flying
417,pachirisu,20,5,8,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png,electric,N/A
418,buizel,18,8,4,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png,water,N/A
419,floatzel,28,13,6,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png,water,N/A
420,cherubi,15,5,5,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png,grass,N/A
421,cherrim,23,7,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png,grass,N/A
422,shellos,25,6,6,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png,water,N/A
423,gastrodon,37,10,8,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png,water,ground
424,ambipom,25,12,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png,normal,N/A
425,drifloon,30,6,4,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png,ghost,flying
426,drifblim,50,10,5,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png,ghost,flying
427,buneary,18,8,5,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png,normal,N/A
428,lopunny,21,9,10,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/428.png,normal,N/A
429,mismagius,20,7,7,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/429.png,ghost,N/A
430,honchkrow,33,15,6,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/430.png,dark,flying
431,glameow,16,6,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,normal,N/A
432,purugly,23,10,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png,normal,N/A
433,chingling,15,5,6,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png,psychic,N/A
434,stunky,21,7,5,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png,poison,dark
435,skuntank,34,11,8,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/435.png,poison,dark
436,bronzor,19,5,10,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png,steel,psychic
437,bronzong,22,11,14,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png,steel,psychic
438,bonsly,16,10,11,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png,rock,N/A
439,mime-jr,10,5,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/439.png,psychic,fairy
440,happiny,33,5,3,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/440.png,normal,N/A
441,chatot,25,8,5,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png,normal,flying
442,spiritomb,16,11,13,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/442.png,ghost,dark
443,gible,19,8,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/443.png,dragon,ground
444,gabite,22,11,8,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/444.png,dragon,ground
445,garchomp,36,16,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/445.png,dragon,ground
446,munchlax,45,10,5,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/446.png,normal,N/A
447,riolu,13,8,5,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/447.png,fighting,N/A
448,lucario,23,13,8,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/448.png,fighting,steel
449,hippopotas,22,9,9,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/449.png,ground,N/A
450,hippowdon,36,14,14,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/450.png,ground,N/A
451,skorupi,13,6,11,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png,poison,bug
452,drapion,23,11,13,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/452.png,poison,dark
453,croagunk,16,7,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/453.png,poison,fighting
